postedDate,eventDate,voidedDate,event,basis,action,entryNumber,portOfEntry,entryDate,entryType,teamNumber
,,,Extended,Customs Extension,,NP810005447,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005439,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005421,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005413,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005405,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005397,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005389,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005371,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005363,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005355,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005348,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005330,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005322,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005314,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005306,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005298,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005280,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005272,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005264,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005256,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005249,5301,,47,6D0
,,,Extended,Customs Extension,,NP810005181,5301,,47,6D0
,,,Extended,Customs Extension,,94324094245,5301,,47,6D0
,,,Extended,Customs Extension,,94324094237,5301,,47,6D0
,,,Extended,Customs Extension,,SQ310074431,5301,,47,6D0
,,,Extended,Customs Extension,,WBA10137106,5301,,47,6D0
,,,Extended,Customs Extension,,JF901325064,5301,,47,6D0
,,,Extended,Customs Extension,,AA603406510,5301,,47,6D0
,,,Liquidated,,Change Increase,SQ310072997,5301,,47,6D0
,,,Liquidated,,Change Increase,JF901324877,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810004796,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005173,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005041,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810004945,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810004879,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810004994,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005157,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810004903,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810004986,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005090,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810004952,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005165,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810004911,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810004895,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005082,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005124,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005074,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005025,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005009,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810004960,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810004929,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005140,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810004937,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005108,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810004978,5301,,47,6D0
,,,Liquidated,,No Change,ARV60247447,5301,,47,6D0
,,,Liquidated,,No Change,DW719112511,5301,,47,6D0
,,,Liquidated,,No Change,BER90171123,5301,,47,6D0
,,,Liquidated,,No Change,BER90173541,5301,,47,6D0
,,,Liquidated,,No Change,AA603405967,5301,,47,6D0
,,,Liquidated,,No Change,BER90173483,5301,,47,6D0
,,,Liquidated,,No Change,BER90171545,5301,,47,6D0
,,,Liquidated,,No Change,BER90173368,5301,,47,6D0
,,,Liquidated,,No Change,BER90171982,5301,,47,6D0
,,,Liquidated,,No Change,BER90172410,5301,,47,6D0
,,,Liquidated,,No Change,BER90172519,5301,,47,6D0
,,,Liquidated,,No Change,BER90173269,5301,,47,6D0
,,,Liquidated,,Change Increase,EI519291071,5301,,47,6D0
,,,Extended,Customs Extension,,BER90163682,5301,,47,6D0
,,,Extended,Customs Extension,,BER90163666,5301,,47,6D0
,,,Extended,Customs Extension,,JF901324877,5301,,47,6D0
,,,Liquidated,,Change Increase,WBA10136520,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005132,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005033,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005116,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005058,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005066,5301,,47,6D0
,,,Liquidated,,Change Increase,NP810005017,5301,,47,6D0
